ID,kryol_acquisition,sex,age,mother_tongue,variant,school,place,place_simple,ão_on,v_b,z_s,palfricvoz_palafrvoz,palfricsur_palafrsur,pallat_palafrvoz,palfricvoz_s,palfricvoz_zero,palfricsur_s,partial,global
1,L1,m,18,Kriol,lebi,secundário,Região de Tombali,Other,66.67,54.55,47.37,69.23,75,80.95,16.67,100,58.62,65.42,62.79875
2,L1,h,22,Kriol,lebi,secundário,Bissau,Bissau,100.00,34.48,32.35,85.71,82.61,94.29,46.15,0,79.81,65.888,56.925
3,L1,m,20,Kriol,lebi,secundário,Bissau,Bissau,85.71,60,31.03,72.22,75,94.12,100,0,50.53,66.474,60.3625
4,L2,h,18,Fula,lebi,secundário,Cansonco (Xitóle),Other,100.00,56.52,48.21,67.86,92.59,100,75,25,58.16,73.036,65.4175
5,L1,m,19,Sussu,lebi,secundário,Cassacá,Other,22.22,58.33,34.21,85.71,53.33,100,100,20,43.86,66.316,61.93
6,L1,m,19,Fula,lebi,secundário,Bissau,Bissau,46.67,37.6,22.45,85.29,91.18,90.7,18.52,0,43.69,65.444,48.67875
7,L1,h,21,Kriol,lebi,secundário,Bissau,Bissau,50.00,54.55,50,72.22,86.67,100,33.33,100,71.19,72.688,70.995
8,L1,h,20,Kriol,lebi,secundário,Bissau,Bissau,20.00,46.9,30.94,76.09,78.38,93.65,5.56,100,62.43,65.192,61.74375
9,L1,h,20,Kriol,lebi,secundário,Bissau,Bissau,25.00,31.15,22.45,72.73,76.47,88,17.65,55.56,63.96,58.16,53.49625
10,L1,m,21,Kriol,lebi,secundário,Catió,Other,100.00,53.85,60,83.33,88.24,100,100,0,41.67,77.084,65.88625
11,L2,h,30,Budjugu,lebi,universitário,Bissau,Bissau,,39.66,20,78.26,77.78,91.67,31.43,100,59.48,61.474,62.285
12,L2,m,29,Balanta,lebi,universitário,Ingoré,Other,,50,18.92,93.33,96,93.55,14.29,0,64.71,70.36,53.85
13,L2,h,27,Biafada,lebi,universitário,Brandão (Tite),Other,,70,53.85,92,88.24,100,50,33.33,65.15,80.818,69.07125
14,L2,m,28,Mansoanka,lebi,universitário,Região de Cacheu,Other,,36.21,38.33,76,73.91,96.43,61.11,0,82.88,64.176,58.10875
15,L2,h,29,Fulup,lebi,universitário,São Domingos,Other,,64.29,59.3,77.78,94.12,100,50,0,66.41,79.098,63.9875
16,L2,m,26,Mandjaku,lebi,universitário,Djeta,Other,,59.57,30.56,96.77,74.29,100,100,50,62.96,72.238,71.76875
17,L2,h,26,Fula,lebi,universitário,Bissau,Bissau,,41.07,21.88,77.78,68.18,82.5,68.18,100,65.35,58.282,65.6175
18,L1,m,25,Kriol,lebi,universitário,Djeta,Other,,56.52,51.52,85,91.67,97.06,22.22,12.5,64.04,76.354,60.06625
19,L2,m,22,Mandjaku,lebi,universitário,Cacnhungo,Other,,58.14,53.85,83.33,81.25,93.33,50,18.18,66.2,73.98,63.035
20,L2,h,27,Balanta,lebi,universitário,Kabuxanki (Bedanda),Other,,52.63,51.72,93.75,100,100,81.82,20,36.89,79.62,67.10125
21,L2,h,63,Fula,fundu,não escolarizado ,Gabú,Other,,90.83,100,92.98,100,100,100,100,100,96.762,97.97625
22,L2,m,80,Mandinga,fundu,não escolarizado ,Nema (Bafatá),Other,,100,100,100,100,100,100,100,100,100,100
23,L1,h,56,Balanta,fundu,básico,Djaal ,Other,,71.7,69.81,82.86,73.33,100,50,0,89.01,79.54,67.08875
24,L2,h,60,Pepel,fundu,não escolarizado ,Safim,Other,,92.45,100,97.37,100,100,100,100,100,97.964,98.7275
25,L3,m,58,Mandinga,fundu,básico,Djaima (Gabú),Other,,89.29,100,100,100,100,0,100,100,97.858,86.16125
26,L2,h,61,Fulup,fundu,básico,Bulol (Suzana),Other,,81.48,58.33,90.63,74.19,100,16.67,0,79.79,80.926,62.63625
27,L2,m,58,Mankanh,fundu,básico,Safim,Other,,87.1,76.47,100,100,100,100,100,63.27,92.714,90.855
28,L2,m,58,Balanta,fundu,básico,Incheia,Other,,88.89,90,100,94.12,100,0,100,94,94.602,83.37625
